restaurant_name,text,rating,sentiment,theme,conflict,source,analyzed
A2B - Adyar Ananda Bhavan Brickfields,"The pasta was overcooked and not what we hoped for. However, Loved the nasi lemak — flavorful and served piping hot.",3,Positive,Taste,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,The ramen was slow and not what we hoped for.,5,Negative,Wait Time,True,llm,True
A2B - Adyar Ananda Bhavan Brickfields,Staff seemed rushed and inattentive throughout.,5,Negative,Service,True,llm,True
Ah Goh Restaurant | 亞娥饭店,"The ramen was cold and not what we hoped for. However, Staff remembered our preferences from last visit.",4,Negative,Taste,True,llm,True
Ah Goh Restaurant | 亞娥饭店,"Had to wait 45 minutes for a table despite having a reservation. However, The satay was excellent and exceeded our expectations.",3,Positive,Taste,True,llm,True
Ah Goh Restaurant | 亞娥饭店,Staff remembered our preferences from last visit.,1,Positive,Service,True,llm,True
Ah Goh Restaurant | 亞娥饭店,Left disappointed; the ramen was slow for the price.,4,Negative,Wait Time,True,llm,True
Ah Goh Restaurant | 亞娥饭店,Expected better — the roast chicken tasted disappointing.,4,Negative,Taste,True,llm,True
Ah Goh Restaurant | 亞娥饭店,Fresh ingredients and bold flavors in every dish.,2,Positive,Taste,True,llm,True
Ah Goh Restaurant | 亞娥饭店,"Overpriced for the portion sizes we received. However, Portions were generous and beautifully plated.",3,Positive,Taste,True,llm,True
Ah Goh Restaurant | 亞娥饭店,The pizza was perfect and exceeded our expectations.,2,Positive,Taste,True,llm,True
Ahaa (Sree Biryani.com),"Expected better — the fish and chips tasted greasy. However, Staff remembered our preferences from last visit.",3,Negative,Taste,True,llm,True
Ahaa (Sree Biryani.com),The pizza was greasy and not what we hoped for.,5,Negative,Taste,True,llm,True
Ahaa (Sree Biryani.com),Staff remembered our preferences from last visit.,2,Positive,Service,True,llm,True
Ahaa (Sree Biryani.com),Staff remembered our preferences from last visit.,2,Positive,Service,True,llm,True
Ahaa (Sree Biryani.com),"Staff seemed rushed and inattentive throughout. However, Loved the ramen — perfect and served piping hot.",3,Positive,Taste,True,llm,True
Ahaa (Sree Biryani.com),The noise level made it hard to have a conversation.,5,Negative,Other,True,llm,True
Ahaa (Sree Biryani.com),The char kuey teow was flavorful and exceeded our expectations.,5,Positive,Taste,True,llm,True
Ahaa (Sree Biryani.com),The char kuey teow was flavorful and exceeded our expectations.,5,Positive,Taste,True,llm,True
Ahaa (Sree Biryani.com),Left disappointed; the ramen was greasy for the price.,5,Negative,Taste,True,llm,True
Ahaa (Sree Biryani.com),The roast chicken was beautifully cooked and exceeded our expectations.,2,Positive,Taste,True,llm,True
Ahaa (Sree Biryani.com),Parking was available but the lot filled up quickly.,3,Neutral,Other,True,llm,True
Amaran restaurant and bar,Food arrived cold after a 20-minute wait.,4,Negative,Taste,True,llm,True
Amaran restaurant and bar,Left disappointed; the satay was slow for the price.,5,Negative,Wait Time,True,llm,True
Amaran restaurant and bar,Would come back just for the pizza; truly authentic.,2,Positive,Taste,True,llm,True
Amaran restaurant and bar,The sushi was flavorful and exceeded our expectations.,5,Positive,Taste,True,llm,True
Amaran restaurant and bar,"The curry was bland and not what we hoped for. However, Staff remembered our preferences from last visit.",3,Negative,Taste,True,llm,True
Amaran restaurant and bar,"Had to wait 45 minutes for a table despite having a reservation. However, Loved the sushi — beautifully cooked and served piping hot.",3,Positive,Taste,True,llm,True
Amaran restaurant and bar,Expected better — the sushi tasted overpriced.,1,Negative,Taste,True,llm,True
Amaran restaurant and bar,"Best tiramisu I've ever had, highly recommend.",1,Positive,Taste,True,llm,True
Amaran restaurant and bar,Staff seemed rushed and inattentive throughout.,4,Negative,Service,True,llm,True
Amaran restaurant and bar,The char kuey teow was flavorful and exceeded our expectations.,5,Positive,Taste,True,llm,True
Amaran restaurant and bar,Staff remembered our preferences from last visit.,4,Positive,Service,True,llm,True
Amaran restaurant and bar,Staff remembered our preferences from last visit.,4,Positive,Service,True,llm,True
Amaran restaurant and bar,Waited over an hour before anyone took our order.,5,Negative,Wait Time,True,llm,True
Amaran restaurant and bar,"The noise level made it hard to have a conversation. However, The satay was beautifully cooked and exceeded our expectations.",3,Positive,Taste,True,llm,True
Amaran restaurant and bar,"Staff seemed rushed and inattentive throughout. However, Excellent value for the quality of food served.",3,Positive,Taste,True,llm,True
Amaran restaurant and bar,Host was welcoming and the ambiance felt cozy.,1,Positive,Service,True,llm,True
Ammars Kitchen,The char kuey teow was flavorful and exceeded our expectations.,5,Positive,Taste,True,llm,True
Ammars Kitchen,Dessert was disappointing and not worth the price.,4,Negative,Taste,True,llm,True
Ammars Kitchen,Staff remembered our preferences from last visit.,5,Positive,Service,True,llm,True
Ammars Kitchen,Staff remembered our preferences from last visit.,2,Positive,Service,True,llm,True
Ammars Kitchen,Would come back just for the fish and chips; truly amazing.,1,Positive,Taste,True,llm,True
Ammars Kitchen,Would come back just for the laksa; truly delicious.,2,Positive,Taste,True,llm,True
Ammars Kitchen,"Best tiramisu I've ever had, highly recommend.",1,Positive,Taste,True,llm,True
Ammars Kitchen,"Expected better — the ramen tasted overcooked. However, Would come back just for the satay; truly delicious.",3,Positive,Taste,True,llm,True
Ammars Kitchen,"Service was average, neither fast nor slow.",3,Neutral,Service,True,llm,True
Ammars Kitchen,Expected better — the fish and chips tasted overcooked.,2,Negative,Taste,True,llm,True
Anak Baba @ Brickfields,Our waiter was incredibly attentive and friendly.,1,Positive,Service,True,llm,True
Anak Baba @ Brickfields,"The char kuey teow was disappointing and not what we hoped for. However, Best tiramisu I've ever had, highly recommend.",3,Positive,Taste,True,llm,True
Anak Baba @ Brickfields,Had to wait 45 minutes for a table despite having a reservation.,4,Negative,Wait Time,True,llm,True
Anak Baba @ Brickfields,Expected better — the char kuey teow tasted underwhelming.,1,Negative,Taste,True,llm,True
Anak Baba @ Brickfields,"Service was average, neither fast nor slow.",3,Neutral,Service,True,llm,True
Anak Baba @ Brickfields,Staff remembered our preferences from last visit.,5,Positive,Service,True,llm,True
Anak Baba @ Brickfields,"Service was average, neither fast nor slow.",3,Neutral,Service,True,llm,True
Anak Baba @ Brickfields,Expected better — the curry tasted underwhelming.,1,Negative,Taste,True,llm,True
Anak Baba @ Brickfields,"The noise level made it hard to have a conversation. However, Best tiramisu I've ever had, highly recommend.",3,Positive,Taste,True,llm,True
Anak Baba @ Brickfields,Service was slow and our order was forgotten twice.,5,Negative,Service,True,llm,True
Anak Baba @ Brickfields,Waited over an hour before anyone took our order.,4,Negative,Wait Time,True,llm,True
Anak Baba @ Brickfields,Staff seemed rushed and inattentive throughout.,4,Negative,Service,True,llm,True
Anak Baba @ Brickfields,Parking was available but the lot filled up quickly.,3,Neutral,Other,True,llm,True
Anak Baba @ Brickfields,The char kuey teow was delicious and exceeded our expectations.,1,Positive,Taste,True,llm,True
Anak Baba @ Brickfields,Excellent value for the quality of food served.,2,Positive,Taste,True,llm,True
Anak Baba @ Brickfields,Quick seating even on a busy Friday night.,5,Positive,Wait Time,True,llm,True
Anak Baba @ Brickfields,Fresh ingredients and bold flavors in every dish.,1,Positive,Taste,True,llm,True
Anak Baba @ Brickfields,"Overpriced for the portion sizes we received. However, Host was welcoming and the ambiance felt cozy.",3,Negative,Other,True,llm,True
Anak Baba @ Brickfields,"Tables were cramped and the room felt overcrowded. However, Staff remembered our preferences from last visit.",3,Negative,Other,True,llm,True
Annalakshmi Vegetarian Restaurant Kuala Lumpur,"Best tiramisu I've ever had, highly recommend.",1,Positive,Taste,True,llm,True
Annalakshmi Vegetarian Restaurant Kuala Lumpur,"The laksa had an authentic, rich broth.",1,Positive,Taste,True,llm,True
Annalakshmi Vegetarian Restaurant Kuala Lumpur,Quick seating even on a busy Friday night.,4,Positive,Wait Time,True,llm,True
Annalakshmi Vegetarian Restaurant Kuala Lumpur,Waited over an hour before anyone took our order.,4,Negative,Wait Time,True,llm,True
Annalakshmi Vegetarian Restaurant Kuala Lumpur,The pizza was flavorful and exceeded our expectations.,2,Positive,Taste,True,llm,True
Annalakshmi Vegetarian Restaurant Kuala Lumpur,Quick seating even on a busy Friday night.,5,Positive,Wait Time,True,llm,True
Annalakshmi Vegetarian Restaurant Kuala Lumpur,Would come back just for the sushi; truly excellent.,1,Positive,Taste,True,llm,True
Annapuurnam Chetinad Restaurant,The satay was authentic and exceeded our expectations.,1,Positive,Taste,True,llm,True
Annapuurnam Chetinad Restaurant,The pasta was greasy and not what we hoped for.,5,Negative,Taste,True,llm,True
Annapuurnam Chetinad Restaurant,Quick seating even on a busy Friday night.,5,Positive,Wait Time,True,llm,True
Annapuurnam Chetinad Restaurant,Expected better — the pizza tasted greasy.,2,Negative,Taste,True,llm,True
Annapuurnam Chetinad Restaurant,The steak was excellent and exceeded our expectations.,2,Positive,Taste,True,llm,True
Annapuurnam Chetinad Restaurant,Staff remembered our preferences from last visit.,4,Positive,Service,True,llm,True
Annapuurnam Chetinad Restaurant,Overpriced for the portion sizes we received.,4,Negative,Other,True,llm,True
Annapuurnam Chetinad Restaurant,Quick seating even on a busy Friday night.,1,Positive,Wait Time,True,llm,True
Annapuurnam Chetinad Restaurant,"The laksa had an authentic, rich broth.",1,Positive,Taste,True,llm,True
Annapuurnam Chetinad Restaurant,Quick seating even on a busy Friday night.,5,Positive,Wait Time,True,llm,True
Annapuurnam Chetinad Restaurant,"Best tiramisu I've ever had, highly recommend.",1,Positive,Taste,True,llm,True
Annapuurnam Chetinad Restaurant,Dessert was disappointing and not worth the price.,4,Negative,Taste,True,llm,True
AP Biryani's And Thali Restaurant,"Prices are standard for this area, no surprises.",3,Neutral,Other,True,llm,True
AP Biryani's And Thali Restaurant,Quick seating even on a busy Friday night.,5,Positive,Wait Time,True,llm,True
AP Biryani's And Thali Restaurant,"Prices are standard for this area, no surprises.",3,Neutral,Other,True,llm,True
AP Biryani's And Thali Restaurant,"Service was average, neither fast nor slow.",3,Neutral,Service,True,llm,True
AP Biryani's And Thali Restaurant,Quick seating even on a busy Friday night.,4,Positive,Wait Time,True,llm,True
Aroii Thai @ NU Sentral,"Service was slow and our order was forgotten twice. However, Staff remembered our preferences from last visit.",4,Negative,Service,True,llm,True
Aroii Thai @ NU Sentral,Quick seating even on a busy Friday night.,4,Positive,Wait Time,True,llm,True
Aroii Thai @ NU Sentral,"The laksa had an authentic, rich broth.",1,Positive,Taste,True,llm,True
Aroii Thai @ NU Sentral,The mains tasted bland and under-seasoned.,5,Negative,Taste,True,llm,True
Aroii Thai @ NU Sentral,Fresh ingredients and bold flavors in every dish.,2,Positive,Taste,True,llm,True
Aroii Thai @ NU Sentral,Expected better — the pizza tasted greasy.,1,Negative,Taste,True,llm,True
Aroii Thai @ NU Sentral,Staff remembered our preferences from last visit.,5,Positive,Service,True,llm,True
Aroii Thai @ NU Sentral,The laksa was overcooked and not what we hoped for.,5,Negative,Taste,True,llm,True
Aroii Thai @ NU Sentral,"Left disappointed; the roast chicken was cold for the price. However, Loved the nasi lemak — amazing and served piping hot.",3,Positive,Taste,True,llm,True
Aroii Thai @ NU Sentral,The ramen was amazing and exceeded our expectations.,1,Positive,Taste,True,llm,True
Aroii Thai @ NU Sentral,"Best tiramisu I've ever had, highly recommend.",2,Positive,Taste,True,llm,True
Artisan Roast Coffee Sentul,Staff remembered our preferences from last visit.,5,Positive,Service,True,llm,True
Artisan Roast Coffee Sentul,Would come back just for the satay; truly outstanding.,2,Positive,Taste,True,llm,True
Artisan Roast Coffee Sentul,Quick seating even on a busy Friday night.,4,Positive,Wait Time,True,llm,True
Artisan Roast Coffee Sentul,"Service was average, neither fast nor slow.",3,Neutral,Service,True,llm,True
Artisan Roast Coffee Sentul,The noise level made it hard to have a conversation.,5,Negative,Other,True,llm,True
Artisan Roast Coffee Sentul,"Prices are standard for this area, no surprises.",3,Neutral,Other,True,llm,True
Artisan Roast Coffee Sentul,The nasi lemak was perfect and exceeded our expectations.,2,Positive,Taste,True,llm,True
Artisan Roast Coffee Sentul,Staff seemed rushed and inattentive throughout.,4,Negative,Service,True,llm,True
Artisan Roast Coffee Sentul,Loved the pizza — flavorful and served piping hot.,2,Positive,Taste,True,llm,True
Artisan Roast Coffee Sentul,"Prices are standard for this area, no surprises.",3,Neutral,Other,True,llm,True
Artisan Roast Coffee Sentul,Expected better — the roast chicken tasted underwhelming.,1,Negative,Taste,True,llm,True
Artisan Roast Coffee Sentul,The nasi lemak was flavorful and exceeded our expectations.,4,Positive,Taste,True,llm,True
Asam Pedas Brickfields,Staff remembered our preferences from last visit.,4,Positive,Service,True,llm,True
Asam Pedas Brickfields,"Dessert was disappointing and not worth the price. However, Best tiramisu I've ever had, highly recommend.",3,Positive,Taste,True,llm,True
Asam Pedas Brickfields,The pasta was slow and not what we hoped for.,5,Negative,Taste,True,llm,True
Asam Pedas Brickfields,Quick seating even on a busy Friday night.,4,Positive,Wait Time,True,llm,True
Asam Pedas Brickfields,Would come back just for the roast chicken; truly perfect.,2,Positive,Taste,True,llm,True
Asam Pedas Brickfields,"The noise level made it hard to have a conversation. However, Staff remembered our preferences from last visit.",3,Negative,Other,True,llm,True
Asam Pedas Brickfields,Food arrived cold after a 20-minute wait.,4,Negative,Taste,True,llm,True
Asam Pedas Brickfields,Staff remembered our preferences from last visit.,5,Positive,Service,True,llm,True
Asam Pedas Brickfields,Staff seemed rushed and inattentive throughout.,4,Negative,Service,True,llm,True
Asam Pedas Brickfields,Expected better — the steak tasted overcooked.,2,Negative,Taste,True,llm,True
Asam Pedas Brickfields,"Food arrived cold after a 20-minute wait. However, Best tiramisu I've ever had, highly recommend.",3,Positive,Taste,True,llm,True
Asam Pedas Brickfields,Left disappointed; the curry was bland for the price.,5,Negative,Taste,True,llm,True
Asam Pedas Brickfields,"Best tiramisu I've ever had, highly recommend.",1,Positive,Taste,True,llm,True
ATAS,Expected better — the char kuey teow tasted overcooked.,2,Negative,Taste,True,llm,True
ATAS,The mains tasted bland and under-seasoned.,5,Negative,Taste,True,llm,True
ATAS,"Tables were cramped and the room felt overcrowded. However, The char kuey teow was outstanding and exceeded our expectations.",3,Positive,Taste,True,llm,True
ATAS,Staff remembered our preferences from last visit.,5,Positive,Service,True,llm,True
ATAS,"Expected better — the char kuey teow tasted bland. However, The laksa had an authentic, rich broth.",3,Neutral,Taste,True,llm,True
ATAS,The place was clean but the decor was a bit dated.,3,Neutral,Other,True,llm,True
Aung Nan Daw Restaurant,Waited over an hour before anyone took our order.,5,Negative,Wait Time,True,llm,True
Aung Nan Daw Restaurant,The curry was flavorful and exceeded our expectations.,4,Positive,Taste,True,llm,True
Aung Nan Daw Restaurant,Excellent value for the quality of food served.,1,Positive,Taste,True,llm,True
Aung Nan Daw Restaurant,Left disappointed; the pizza was underwhelming for the price.,5,Negative,Taste,True,llm,True
Aung Nan Daw Restaurant,"Prices are standard for this area, no surprises.",3,Neutral,Other,True,llm,True
Aung Nan Daw Restaurant,The steak was flavorful and exceeded our expectations.,4,Positive,Taste,True,llm,True
Aung Nan Daw Restaurant,"Prices are standard for this area, no surprises.",3,Neutral,Other,True,llm,True
Ayam Penyet AP @NU Sentral,Staff remembered our preferences from last visit.,5,Positive,Service,True,llm,True
Ayam Penyet AP @NU Sentral,Staff remembered our preferences from last visit.,4,Positive,Service,True,llm,True
Ayam Penyet AP @NU Sentral,Quick seating even on a busy Friday night.,4,Positive,Wait Time,True,llm,True
Ayam Penyet AP @NU Sentral,Would come back just for the char kuey teow; truly memorable.,2,Positive,Taste,True,llm,True
Ayam Penyet AP @NU Sentral,"Best tiramisu I've ever had, highly recommend.",2,Positive,Taste,True,llm,True
Ayam Penyet AP @NU Sentral,Dessert was disappointing and not worth the price.,4,Negative,Taste,True,llm,True
Ayam Penyet AP @NU Sentral,Would come back just for the sushi; truly excellent.,1,Positive,Taste,True,llm,True
Ayam Penyet AP @NU Sentral,Quick seating even on a busy Friday night.,5,Positive,Wait Time,True,llm,True
Ayam Penyet AP @NU Sentral,"The steak was cooked to perfection, very juicy.",2,Positive,Taste,True,llm,True
Ayam Penyet AP @NU Sentral,"Overpriced for the portion sizes we received. However, Host was welcoming and the ambiance felt cozy.",3,Negative,Other,True,llm,True
Ayam Penyet AP @NU Sentral,Loved the pizza — authentic and served piping hot.,1,Positive,Taste,True,llm,True
B.bap Korean Food @ NU Sentral,Overpriced for the portion sizes we received.,5,Negative,Other,True,llm,True
B.bap Korean Food @ NU Sentral,Had to wait 45 minutes for a table despite having a reservation.,4,Negative,Wait Time,True,llm,True
B.bap Korean Food @ NU Sentral,"Tables were cramped and the room felt overcrowded. However, The curry was excellent and exceeded our expectations.",3,Positive,Taste,True,llm,True
B.bap Korean Food @ NU Sentral,Dessert was disappointing and not worth the price.,5,Negative,Taste,True,llm,True
B.bap Korean Food @ NU Sentral,"Expected better — the fish and chips tasted bland. However, Best tiramisu I've ever had, highly recommend.",3,Positive,Taste,True,llm,True
B.bap Korean Food @ NU Sentral,Expected better — the steak tasted overcooked.,2,Negative,Taste,True,llm,True
B.bap Korean Food @ NU Sentral,Would come back just for the curry; truly excellent.,1,Positive,Taste,True,llm,True
B.bap Korean Food @ NU Sentral,Tables were cramped and the room felt overcrowded.,4,Negative,Other,True,llm,True
B.bap Korean Food @ NU Sentral,"Overpriced for the portion sizes we received. However, Loved the pizza — perfect and served piping hot.",3,Positive,Taste,True,llm,True
B.bap Korean Food @ NU Sentral,The ramen was memorable and exceeded our expectations.,2,Positive,Taste,True,llm,True
B.bap Korean Food @ NU Sentral,The roast chicken was flavorful and exceeded our expectations.,5,Positive,Taste,True,llm,True
B.bap Korean Food @ NU Sentral,Parking was available but the lot filled up quickly.,3,Neutral,Other,True,llm,True
Baba Low • Bangsar Utama • Jln Abdullah,"The steak was cooked to perfection, very juicy.",1,Positive,Taste,True,llm,True
Baba Low • Bangsar Utama • Jln Abdullah,"Prices are standard for this area, no surprises.",3,Neutral,Other,True,llm,True
Baba Low • Bangsar Utama • Jln Abdullah,Staff remembered our preferences from last visit.,5,Positive,Service,True,llm,True
Baba Low • Bangsar Utama • Jln Abdullah,Loved the fish and chips — amazing and served piping hot.,2,Positive,Taste,True,llm,True
Baba Low • Bangsar Utama • Jln Abdullah,Parking was available but the lot filled up quickly.,3,Neutral,Other,True,llm,True
Baba Low • Bangsar Utama • Jln Abdullah,Quick seating even on a busy Friday night.,4,Positive,Wait Time,True,llm,True
Baba Low • Bangsar Utama • Jln Abdullah,"Had to wait 45 minutes for a table despite having a reservation. However, The steak was cooked to perfection, very juicy.",3,Positive,Taste,True,llm,True
Baba Low • Bangsar Utama • Jln Abdullah,Staff remembered our preferences from last visit.,4,Positive,Service,True,llm,True
Beta KL,Left disappointed; the satay was disappointing for the price.,4,Negative,Taste,True,llm,True
Beta KL,Parking was available but the lot filled up quickly.,3,Neutral,Other,True,llm,True
Beta KL,Expected better — the laksa tasted overpriced.,2,Negative,Taste,True,llm,True
Bhai Bhai Restaurant- ভাই ভাই রেস্টুরেন্ট,"Expected better — the pizza tasted overpriced. However, Fresh ingredients and bold flavors in every dish.",3,Positive,Taste,True,llm,True
Bhai Bhai Restaurant- ভাই ভাই রেস্টুরেন্ট,Staff seemed rushed and inattentive throughout.,5,Negative,Service,True,llm,True
Bhai Bhai Restaurant- ভাই ভাই রেস্টুরেন্ট,Expected better — the char kuey teow tasted underwhelming.,2,Negative,Taste,True,llm,True
Bhai Bhai Restaurant- ভাই ভাই রেস্টুরেন্ট,"The pizza was inconsistent and not what we hoped for. However, Loved the ramen — flavorful and served piping hot.",3,Positive,Taste,True,llm,True
Bhai Bhai Restaurant- ভাই ভাই রেস্টুরেন্ট,"The noise level made it hard to have a conversation. However, Would come back just for the curry; truly perfect.",3,Positive,Taste,True,llm,True
Bhai Bhai Restaurant- ভাই ভাই রেস্টুরেন্ট,Quick seating even on a busy Friday night.,5,Positive,Wait Time,True,llm,True
Bhai Bhai Restaurant- ভাই ভাই রেস্টুরেন্ট,The sushi was slow and not what we hoped for.,5,Negative,Wait Time,True,llm,True
Bhai Bhai Restaurant- ভাই ভাই রেস্টুরেন্ট,Portions were generous and beautifully plated.,2,Positive,Taste,True,llm,True
Bhai Bhai Restaurant- ভাই ভাই রেস্টুরেন্ট,Expected better — the steak tasted cold.,2,Negative,Taste,True,llm,True
Bijan Bar & Restaurant,Quick seating even on a busy Friday night.,1,Positive,Wait Time,True,llm,True
Bijan Bar & Restaurant,Service was slow and our order was forgotten twice.,5,Negative,Service,True,llm,True
Bijan Bar & Restaurant,"Overpriced for the portion sizes we received. However, Loved the char kuey teow — outstanding and served piping hot.",3,Positive,Taste,True,llm,True
Bijan Bar & Restaurant,Staff remembered our preferences from last visit.,5,Positive,Service,True,llm,True
Bijan Bar & Restaurant,"The ramen was salty and not what we hoped for. However, The laksa had an authentic, rich broth.",3,Positive,Taste,True,llm,True
Bijan Bar & Restaurant,Left disappointed; the curry was disappointing for the price.,5,Negative,Taste,True,llm,True
Bijan Bar & Restaurant,The laksa was cold and not what we hoped for.,4,Negative,Taste,True,llm,True
Bijan Bar & Restaurant,Waited over an hour before anyone took our order.,4,Negative,Wait Time,True,llm,True
Bijan Bar & Restaurant,"Service was average, neither fast nor slow.",3,Neutral,Service,True,llm,True
Bijan Bar & Restaurant,Staff remembered our preferences from last visit.,5,Positive,Service,True,llm,True
BOLLYWOOD TADKA,Staff seemed rushed and inattentive throughout.,5,Negative,Service,True,llm,True
BOLLYWOOD TADKA,Dessert was disappointing and not worth the price.,4,Negative,Taste,True,llm,True
BOLLYWOOD TADKA,Portions were generous and beautifully plated.,1,Positive,Taste,True,llm,True
BOLLYWOOD TADKA,The place was clean but the decor was a bit dated.,3,Neutral,Other,True,llm,True
BOLLYWOOD TADKA,"The noise level made it hard to have a conversation. However, Loved the satay — beautifully cooked and served piping hot.",3,Positive,Taste,True,llm,True
BOLLYWOOD TADKA,The noise level made it hard to have a conversation.,4,Negative,Other,True,llm,True
BOLLYWOOD TADKA,Host was welcoming and the ambiance felt cozy.,1,Positive,Service,True,llm,True
BOLLYWOOD TADKA,Expected better — the laksa tasted salty.,1,Negative,Taste,True,llm,True
BOLLYWOOD TADKA,"Food arrived cold after a 20-minute wait. However, Quick seating even on a busy Friday night.",3,Negative,Taste,True,llm,True
BOLLYWOOD TADKA,"Dessert was disappointing and not worth the price. However, The ramen was excellent and exceeded our expectations.",4,Positive,Taste,True,llm,True
BOLLYWOOD TADKA,Quick seating even on a busy Friday night.,2,Positive,Wait Time,True,llm,True
BOLLYWOOD TADKA,Staff remembered our preferences from last visit.,4,Positive,Service,True,llm,True
BOLLYWOOD TADKA,The place was clean but the decor was a bit dated.,3,Neutral,Other,True,llm,True
BOLLYWOOD TADKA,The steak was flavorful and exceeded our expectations.,5,Positive,Taste,True,llm,True
BOLLYWOOD TADKA,Staff remembered our preferences from last visit.,2,Positive,Service,True,llm,True
BOLLYWOOD TADKA,Quick seating even on a busy Friday night.,4,Positive,Wait Time,True,llm,True
Botanica+Co at Alila Bangsar,Left disappointed; the laksa was disappointing for the price.,5,Negative,Taste,True,llm,True
Botanica+Co at Alila Bangsar,Host was welcoming and the ambiance felt cozy.,1,Positive,Service,True,llm,True
